OBH Location 50 m from largest SPL,,,,Time (s from midnight),Distance (m)
867427.786,7855290.437,,,39514,5207
,,,,39527,5259
,,,,39537,5288
,,,,39547,5316
,,,,39557,5326
,,,,39567,5313
,,,,39577,5294
,,,,39587,5270
,,,,39597,5243
,,,,39607,5220
,,,,39617,5204
,,,,39627,5182
,,,,39637,5153
,,,,39647,5123
,,,,39657,5094
,,,,39668,5065
,,,,39678,5041
,,,,39688,5021
,,,,39698,4995
,,,,39708,4961
,,,,39718,4933
,,,,39728,4908
,,,,39738,4880
,,,,39748,4851
,,,,39758,4823
,,,,39768,4795
,,,,39778,4768
,,,,39788,4742
,,,,39798,4715
,,,,39808,4686
,,,,39818,4657
,,,,39828,4627
,,,,39838,4598
,,,,39848,4569
,,,,39858,4540
,,,,39868,4511
,,,,39878,4482
,,,,39888,4453
,,,,39898,4426
,,,,39908,4398
,,,,39918,4371
,,,,39928,4342
,,,,39938,4307
,,,,39948,4280
,,,,39958,4252
,,,,39968,4224
,,,,39978,4198
,,,,39988,4172
,,,,39998,4145
,,,,40008,4119
,,,,40018,4091
,,,,40028,3745
,,,,40038,3717
,,,,40048,3688
,,,,40058,3974
,,,,40068,3954
,,,,40078,3928
,,,,40088,3900
,,,,40098,3868
,,,,40108,3838
,,,,40118,3812
,,,,40128,3781
,,,,40138,3753
,,,,40148,3736
,,,,40158,3717
,,,,40168,3683
,,,,40178,3653
,,,,40188,3623
,,,,40198,3592
,,,,40208,3563
,,,,40218,3530
,,,,40228,3503
,,,,40238,3476
,,,,40248,3448
,,,,40258,3426
,,,,40268,3396
,,,,40278,3367
,,,,40288,3344
,,,,40298,3315
,,,,40308,3285
,,,,40318,3256
,,,,40328,3227
,,,,40338,3204
,,,,40348,3175
,,,,40358,3144
,,,,40368,3118
,,,,40378,3090
,,,,40388,3063
,,,,40398,3035
,,,,40408,3008
,,,,40418,2980
,,,,40428,2952
,,,,40438,2921
,,,,40448,2893
,,,,40458,2868
,,,,40468,2840
,,,,40478,2812
,,,,40488,2783
,,,,40498,2755
,,,,40508,2728
,,,,40518,2700
,,,,40528,2673
,,,,40538,2647
,,,,40548,2621
,,,,40558,2596
,,,,40568,2572
,,,,40578,2547
,,,,40588,2522
,,,,40598,2489
,,,,40608,2463
,,,,40618,2434
,,,,40628,2409
,,,,40638,2383
,,,,40648,2355
,,,,40658,2330
,,,,40668,2302
,,,,40678,2274
,,,,40688,2246
,,,,40698,2219
,,,,40708,2191
,,,,40718,2165
,,,,40728,2137
,,,,40738,2110
,,,,40748,2084
,,,,40758,2059
,,,,40768,2031
,,,,40778,2003
,,,,40788,1977
,,,,40798,1950
,,,,40808,1923
,,,,40818,1897
,,,,40828,1871
,,,,40838,1842
,,,,40848,1817
,,,,40858,1790
,,,,40868,1764
,,,,40878,1738
,,,,40888,1711
,,,,40898,1682
,,,,40908,1655
,,,,40918,1630
,,,,40928,1606
,,,,40938,1578
,,,,40948,1553
,,,,40958,1528
,,,,40968,1504
,,,,40978,1479
,,,,40988,1452
,,,,40998,1425
,,,,41008,1399
,,,,41018,1372
,,,,41028,1345
,,,,41038,1320
,,,,41048,1295
,,,,41058,1269
,,,,41068,1247
,,,,41078,1221
,,,,41088,1195
,,,,41098,1169
,,,,41108,1145
,,,,41118,1118
,,,,41128,1092
,,,,41138,1066
,,,,41148,1039
,,,,41158,1011
,,,,41168,984
,,,,41178,959
,,,,41188,934
,,,,41198,906
,,,,41208,879
,,,,41218,853
,,,,41228,828
,,,,41238,802
,,,,41248,777
,,,,41258,753
,,,,41268,727
,,,,41278,702
,,,,41288,678
,,,,41298,653
,,,,41308,629
,,,,41318,604
,,,,41328,580
,,,,41338,558
,,,,41348,535
,,,,41358,511
,,,,41368,486
,,,,41378,462
,,,,41388,437
,,,,41398,411
,,,,41408,386
,,,,41418,361
,,,,41428,335
,,,,41438,310
,,,,41448,286
,,,,41458,260
,,,,41468,235
,,,,41478,211
,,,,41488,187
,,,,41498,164
,,,,41508,138
,,,,41518,115
,,,,41528,93
,,,,41538,71
,,,,41548,56
,,,,41558,51
,,,,41568,59
,,,,41578,71
,,,,41588,96
,,,,41598,117
,,,,41608,138
,,,,41618,173
,,,,41628,195
,,,,41638,217
,,,,41648,247
,,,,41658,266
,,,,41668,288
,,,,41678,310
,,,,41688,333
,,,,41698,357
,,,,41708,381
,,,,41718,406
,,,,41728,430
,,,,41738,452
,,,,41748,479
,,,,41758,503
,,,,41768,529
,,,,41778,553
,,,,41788,576
,,,,41798,601
,,,,41808,625
,,,,41818,651
,,,,41828,681
,,,,41838,702
,,,,41848,723
,,,,41858,744
,,,,41868,767
,,,,41878,791
,,,,41888,815
,,,,41898,838
,,,,41908,863
,,,,41918,888
,,,,41928,913
,,,,41938,938
,,,,41948,963
,,,,41958,988
,,,,41968,1014
,,,,41978,1039
,,,,41988,1063
,,,,41998,1088
,,,,42008,1113
,,,,42018,1138
,,,,42028,1162
,,,,42038,1187
,,,,42048,1212
,,,,42058,1237
,,,,42068,1263
,,,,42078,1288
,,,,42088,1313
,,,,42098,1338
,,,,42108,1363
,,,,42118,1388
,,,,42128,1413
,,,,42138,1438
,,,,42148,1463
,,,,42158,1488
,,,,42168,1512
,,,,42178,1537
,,,,42188,1562
,,,,42198,1587
,,,,42208,1612
,,,,42218,1637
,,,,42228,1662
,,,,42238,1687
,,,,42248,1712
,,,,42258,1737
,,,,42268,1762
,,,,42278,1788
,,,,42288,1813
,,,,42298,1838
,,,,42308,1861
,,,,42318,1887
,,,,42328,1912
,,,,42338,1937
,,,,42348,1962
,,,,42358,1987
,,,,42368,2013
,,,,42378,2038
,,,,42388,2063
,,,,42398,2088
,,,,42408,2114
,,,,42418,2139
,,,,42428,2163
,,,,42438,2188
,,,,42448,2213
,,,,42458,2237
,,,,42468,2262
,,,,42478,2287
,,,,42488,2312
,,,,42498,2336
,,,,42508,2359
,,,,42518,2383
,,,,42528,2408
,,,,42538,2433
,,,,42548,2458
,,,,42558,2483
,,,,42568,2507
,,,,42578,2531
,,,,42588,2556
,,,,42598,2580
,,,,42608,2605
,,,,42618,2632
,,,,42628,2657
,,,,42638,2682
,,,,42648,2707
,,,,42658,2731
,,,,42668,2756
,,,,42678,2781
,,,,42688,2806
,,,,42698,2831
,,,,42708,2855
,,,,42718,2880
,,,,42728,2904
,,,,42738,2929
,,,,42748,2954
,,,,42758,2979
,,,,42768,3004
,,,,42778,3029
,,,,42788,3054
,,,,42798,3078
,,,,42808,3103
,,,,42818,3128
,,,,42828,3152
,,,,42838,3177
,,,,42848,3202
,,,,42858,3227
,,,,42868,3251
,,,,42878,3277
,,,,42888,3301
,,,,42898,3327
,,,,42908,3352
,,,,42918,3377
,,,,42928,3402
,,,,42938,3427
,,,,42948,3453
,,,,42958,3478
,,,,42968,3503
,,,,42978,3528
,,,,42988,3552
,,,,42998,3577
,,,,43008,3602
,,,,43018,3628
,,,,43028,3654
,,,,43038,3678
,,,,43048,3703
,,,,43058,3728
,,,,43068,3752
,,,,43078,3778
,,,,43088,3804
,,,,43098,3829
,,,,43108,3853
,,,,43118,3879
,,,,43128,3905
,,,,43138,3930
,,,,43148,3956
,,,,43158,3981
,,,,43168,4006
,,,,43178,4031
,,,,43188,4056
,,,,43198,4081
,,,,43208,4107
,,,,43218,4132
,,,,43228,4158
,,,,43238,4183
,,,,43248,4209
,,,,43258,4235
,,,,43268,4260
,,,,43278,4286
,,,,43288,4312
,,,,43298,4337
,,,,43308,4362
,,,,43318,4388
,,,,43328,4415
,,,,43338,4441
,,,,43348,4467
,,,,43358,4492
,,,,43368,4517
,,,,43378,4543
,,,,43388,4568
,,,,43398,4595
,,,,43408,4620
,,,,43418,4645
,,,,43428,4670
,,,,43438,4695
,,,,43448,4721
,,,,43458,4746
,,,,43468,4772
,,,,43478,4797
,,,,43488,4822
,,,,43498,4848
,,,,43508,4873
,,,,43518,4897
,,,,43528,4923
,,,,43538,4949
,,,,43548,4974
,,,,43558,4998
,,,,43568,5022
,,,,43578,5044
,,,,43588,5070
,,,,43598,5096
,,,,43608,5122
,,,,43618,5148
,,,,43628,5173
,,,,43638,5199
,,,,43648,5225
,,,,43658,5252
,,,,43668,5279
,,,,43678,5304
,,,,43688,5327
,,,,43698,5351
,,,,43708,5375
,,,,43718,5401
,,,,43728,5427
,,,,43738,5452
,,,,43748,5478
,,,,43758,5504
,,,,43768,5529
,,,,43778,5555
,,,,43788,5580
,,,,43798,5606
,,,,43808,5633
,,,,43818,5659
,,,,43828,5685
,,,,43838,5712
,,,,43848,5736
,,,,43858,5762
,,,,43868,5789
,,,,43878,5814
,,,,43888,5840
,,,,43898,5866
,,,,43908,5891
,,,,43918,5919
,,,,43928,5946
,,,,43938,5971
,,,,43948,5997
,,,,43958,6023
,,,,43968,6049
,,,,43978,6076
,,,,43988,6105
,,,,43998,6130
,,,,44008,6157
,,,,44018,6181
,,,,44028,6208
,,,,44038,6233
,,,,44048,6258
,,,,44058,6286
,,,,44068,6313
,,,,44078,6338
,,,,44088,6365
,,,,44098,6392
,,,,44108,6416
,,,,44118,6442
,,,,44128,6467
,,,,44138,6494
,,,,44148,6522
,,,,44158,6549
,,,,44168,6576
,,,,44178,6602
,,,,44188,6629
,,,,44198,6654
,,,,44208,6681
,,,,44218,6708
,,,,44228,6735
,,,,44238,6761
,,,,44248,6788
,,,,44258,6815
,,,,44268,6841
,,,,44278,6868
,,,,44288,6894
,,,,44298,6922
,,,,44308,6950
,,,,44318,6976
,,,,44328,7004
,,,,44338,7031
,,,,44348,7057
,,,,44358,7084
,,,,44368,7110
,,,,44378,7136
,,,,44388,7163
,,,,44398,7191
,,,,44408,7217
,,,,44418,7244
,,,,44428,7271
,,,,44438,7298
,,,,44448,7326
,,,,44458,7353
,,,,44468,7380
,,,,44478,7407
,,,,44488,7433
,,,,44498,7459
,,,,44508,7487
,,,,44518,7513
,,,,44528,7541
,,,,44538,7569
,,,,44548,7597
,,,,44558,7623
,,,,44568,7649
,,,,44578,7676
,,,,44588,7703
,,,,44598,7731
,,,,44608,7758
,,,,44618,7786
,,,,44628,7811
,,,,44638,7838
,,,,44648,7865
,,,,44658,7893
,,,,44668,7919
,,,,44678,7947
,,,,44688,7974
,,,,44698,8001
,,,,44708,8028
,,,,44718,8056
,,,,44728,8083
,,,,44738,8110
,,,,44748,8137
,,,,44758,8164
,,,,44768,8191
,,,,44778,8218
,,,,44788,8244
,,,,44798,8272
,,,,44808,8299
,,,,44818,8326
,,,,44828,8353
,,,,44838,8382
,,,,44848,8408
,,,,44858,8436
,,,,44868,8463
,,,,44878,8491
,,,,44888,8518
,,,,44898,8545
,,,,44908,8572
,,,,44918,8599
,,,,44928,8627
,,,,44938,8653
,,,,44948,8680
,,,,44958,8707
,,,,44968,8735
,,,,44978,8761
,,,,44988,8789
,,,,44998,8816
,,,,45008,8844
,,,,45018,8872
,,,,45028,8900
,,,,45038,8928
,,,,45048,8955
,,,,45058,8984
,,,,45068,9011
,,,,45078,9039
,,,,45088,9066
,,,,45098,9093
,,,,45108,9119
,,,,45118,9146
,,,,45128,9174
,,,,45138,9203
,,,,45148,9230
,,,,45158,9258
,,,,45168,9285
,,,,45178,9312
,,,,45188,9340
,,,,45198,9368
,,,,45208,9395
,,,,45218,9423
,,,,45228,9450
,,,,45238,9478
,,,,45248,9505
,,,,45258,9533
,,,,45268,9561
,,,,45278,9589
,,,,45288,9617
,,,,45298,9645
,,,,45308,9673
,,,,45318,9701
,,,,45328,9728
,,,,45338,9756
,,,,45348,9784
,,,,45358,9813
,,,,45368,9839
,,,,45378,9868
,,,,45388,9896
,,,,45398,9924
,,,,45408,9952
,,,,45418,9981
,,,,45428,10010
,,,,45438,10037
,,,,45448,10065
,,,,45458,10093
,,,,45468,10122
,,,,45478,10151
,,,,45488,10178
,,,,45498,10205
,,,,45508,10234
,,,,45518,10263
,,,,45528,10292
,,,,45538,10321
,,,,45548,10349
,,,,45558,10378
,,,,45568,10406
,,,,45578,10434
,,,,45588,10462
,,,,45598,10490
,,,,45608,10517
,,,,45618,10545
,,,,45628,10573
,,,,45638,10602
,,,,45648,10630
,,,,45658,10659
,,,,45668,10687
,,,,45678,10716
,,,,45688,10743
,,,,45698,10771
,,,,45708,10800
,,,,45718,10828
,,,,45728,10857
,,,,45738,10886
,,,,45748,10914
,,,,45758,10941
,,,,45768,10970
,,,,45778,11000
,,,,45788,11028
,,,,45798,11055
,,,,45808,11083
,,,,45818,11112
,,,,45828,11140
,,,,45838,11169
,,,,45848,11196
,,,,45858,11225
,,,,45868,11253
,,,,45878,11282
,,,,45888,11270
,,,,45898,11343
,,,,45908,11371
,,,,45918,11398
,,,,45928,11427
,,,,45938,11455
,,,,45948,11483
,,,,45958,11511
,,,,45968,11539
,,,,45978,11568
,,,,45988,11597
,,,,45998,11626
,,,,46008,11653
,,,,46018,11681
,,,,46028,11710
,,,,46038,11738
,,,,46048,11767
,,,,46058,11795
,,,,46068,11822
,,,,46078,11851
,,,,46088,11880
,,,,46098,11909
,,,,46108,11936
,,,,46118,11965
,,,,46128,11994
,,,,46138,12022
,,,,46148,12052
,,,,46158,12080
,,,,46168,12109
,,,,46178,12137
,,,,46188,12164
,,,,46198,12192
,,,,46208,12221
,,,,46218,12249
,,,,46228,12278
,,,,46238,12307
,,,,46248,12335
,,,,46258,12363
,,,,46268,12392
,,,,46278,12421
,,,,46288,12450
,,,,46298,12479
,,,,46308,12506
,,,,46318,12535
,,,,46328,12565
,,,,46338,12593
,,,,46348,12622
,,,,46358,12651
,,,,46368,12680
,,,,46378,12708
,,,,46388,12737
,,,,46398,12766
,,,,46408,12793
,,,,46418,12821
,,,,46428,12850
,,,,46438,12879
,,,,46448,12908
,,,,46458,12936
,,,,46468,12964
,,,,46478,12992
,,,,46488,13020
,,,,46498,13048
,,,,46508,13077
,,,,46518,13105
,,,,46528,13134
,,,,46538,13164
,,,,46548,13192
,,,,46558,13221
,,,,46568,13249
,,,,46578,13278
,,,,46588,13307
,,,,46598,13335
,,,,46608,13364
,,,,46618,13393
,,,,46628,13422
,,,,46638,13451
,,,,46648,13480
,,,,46658,13508
,,,,46668,13537
,,,,46678,13564
,,,,46688,13592
,,,,46698,13621
,,,,46708,13647
,,,,46718,13678
,,,,46728,13707
,,,,46738,13736
,,,,46748,13765
,,,,46758,13793
,,,,46768,13823
,,,,46778,13849
,,,,46788,13878
,,,,46798,13907
,,,,46808,13935
,,,,46818,13965
,,,,46828,13994
,,,,46838,14022
,,,,46848,14050
,,,,46858,14079
,,,,46868,14108
,,,,46878,14137
,,,,46888,14166
,,,,46898,14196
,,,,46908,14224
,,,,46918,14253
,,,,46928,14281
,,,,46938,14310
,,,,46948,14339
,,,,46958,14368
,,,,46968,14397
,,,,46978,14426
,,,,46988,14455
,,,,46998,14485
,,,,47008,14513
,,,,47018,14543
,,,,47028,14571
,,,,47038,14601
,,,,47048,14629
,,,,47058,14659
,,,,47068,14688
,,,,47078,14717
,,,,47088,14746
,,,,47098,14775
,,,,47108,14804
,,,,47118,14833
,,,,47128,14862
,,,,47138,14890
,,,,47148,14919
,,,,47158,14948
,,,,47168,14977
,,,,47178,15005
,,,,47188,15034
,,,,47198,15064
,,,,47208,15088
,,,,47218,15120
,,,,47228,15151
,,,,47238,15180
,,,,47248,15207
,,,,47258,15217
,,,,47268,15202
,,,,47278,15167
,,,,47288,15118
,,,,47298,15062
,,,,47308,15006
,,,,47318,14950
,,,,47328,14894
,,,,47338,14836
,,,,47348,14780
,,,,47358,14722
,,,,47368,14666
,,,,47378,14612
,,,,47388,14558
,,,,47398,14503
,,,,47408,14447
,,,,47418,14390
,,,,47428,14333
,,,,47438,14278
,,,,47448,14222
,,,,47458,14165
